index,path,error
100,O:\O drive\AI\my project\medical image projects\Sperm Morphology Colorized\Dataset\archive (1)\dataset\train\Normal_Sperm\Normal_Sperm (17)_8.jpg,"Transformed image size torch.Size([201, 201]) != (224, 224)"
103,O:\O drive\AI\my project\medical image projects\Sperm Morphology Colorized\Dataset\archive (1)\dataset\train\Normal_Sperm\Normal_Sperm (175)_12.jpg,"Transformed image size torch.Size([201, 201]) != (224, 224)"
104,O:\O drive\AI\my project\medical image projects\Sperm Morphology Colorized\Dataset\archive (1)\dataset\train\Normal_Sperm\Normal_Sperm (176)_2.jpg,"Transformed image size torch.Size([201, 201]) != (224, 224)"
105,O:\O drive\AI\my project\medical image projects\Sperm Morphology Colorized\Dataset\archive (1)\dataset\train\Normal_Sperm\Normal_Sperm (176)_9.jpg,"Transformed image size torch.Size([201, 201]) != (224, 224)"
106,O:\O drive\AI\my project\medical image projects\Sperm Morphology Colorized\Dataset\archive (1)\dataset\train\Normal_Sperm\Normal_Sperm (179)_2.jpg,"Transformed image size torch.Size([201, 201]) != (224, 224)"
109,O:\O drive\AI\my project\medical image projects\Sperm Morphology Colorized\Dataset\archive (1)\dataset\train\Normal_Sperm\Normal_Sperm (183)_8.jpg,"Transformed image size torch.Size([201, 201]) != (224, 224)"
119,O:\O drive\AI\my project\medical image projects\Sperm Morphology Colorized\Dataset\archive (1)\dataset\train\Normal_Sperm\Normal_Sperm (191)_11.jpg,"Transformed image size torch.Size([201, 201]) != (224, 224)"
124,O:\O drive\AI\my project\medical image projects\Sperm Morphology Colorized\Dataset\archive (1)\dataset\train\Normal_Sperm\Normal_Sperm (194)_8.jpg,"Transformed image size torch.Size([201, 201]) != (224, 224)"
128,O:\O drive\AI\my project\medical image projects\Sperm Morphology Colorized\Dataset\archive (1)\dataset\train\Normal_Sperm\Normal_Sperm (2)_9.jpg,"Transformed image size torch.Size([201, 201]) != (224, 224)"
130,O:\O drive\AI\my project\medical image projects\Sperm Morphology Colorized\Dataset\archive (1)\dataset\train\Normal_Sperm\Normal_Sperm (200)_3.jpg,"Transformed image size torch.Size([201, 201]) != (224, 224)"
133,O:\O drive\AI\my project\medical image projects\Sperm Morphology Colorized\Dataset\archive (1)\dataset\train\Normal_Sperm\Normal_Sperm (202)_1.jpg,"Transformed image size torch.Size([201, 201]) != (224, 224)"
134,O:\O drive\AI\my project\medical image projects\Sperm Morphology Colorized\Dataset\archive (1)\dataset\train\Normal_Sperm\Normal_Sperm (202)_12.jpg,"Transformed image size torch.Size([201, 201]) != (224, 224)"
139,O:\O drive\AI\my project\medical image projects\Sperm Morphology Colorized\Dataset\archive (1)\dataset\train\Normal_Sperm\Normal_Sperm (211)_11.jpg,"Transformed image size torch.Size([201, 201]) != (224, 224)"
149,O:\O drive\AI\my project\medical image projects\Sperm Morphology Colorized\Dataset\archive (1)\dataset\train\Normal_Sperm\Normal_Sperm (221)_11.jpg,"Transformed image size torch.Size([201, 201]) != (224, 224)"
150,O:\O drive\AI\my project\medical image projects\Sperm Morphology Colorized\Dataset\archive (1)\dataset\train\Normal_Sperm\Normal_Sperm (221)_3.jpg,"Transformed image size torch.Size([201, 201]) != (224, 224)"
152,O:\O drive\AI\my project\medical image projects\Sperm Morphology Colorized\Dataset\archive (1)\dataset\train\Normal_Sperm\Normal_Sperm (224)_1.jpg,"Transformed image size torch.Size([201, 201]) != (224, 224)"
155,O:\O drive\AI\my project\medical image projects\Sperm Morphology Colorized\Dataset\archive (1)\dataset\train\Normal_Sperm\Normal_Sperm (228)_12.jpg,"Transformed image size torch.Size([201, 201]) != (224, 224)"
157,O:\O drive\AI\my project\medical image projects\Sperm Morphology Colorized\Dataset\archive (1)\dataset\train\Normal_Sperm\Normal_Sperm (228)_8.jpg,"Transformed image size torch.Size([201, 201]) != (224, 224)"
161,O:\O drive\AI\my project\medical image projects\Sperm Morphology Colorized\Dataset\archive (1)\dataset\train\Normal_Sperm\Normal_Sperm (231)_9.jpg,"Transformed image size torch.Size([201, 201]) != (224, 224)"
165,O:\O drive\AI\my project\medical image projects\Sperm Morphology Colorized\Dataset\archive (1)\dataset\train\Normal_Sperm\Normal_Sperm (233)_9.jpg,"Transformed image size torch.Size([201, 201]) != (224, 224)"
166,O:\O drive\AI\my project\medical image projects\Sperm Morphology Colorized\Dataset\archive (1)\dataset\train\Normal_Sperm\Normal_Sperm (234)_1.jpg,"Transformed image size torch.Size([201, 201]) != (224, 224)"
167,O:\O drive\AI\my project\medical image projects\Sperm Morphology Colorized\Dataset\archive (1)\dataset\train\Normal_Sperm\Normal_Sperm (235)_10.jpg,"Transformed image size torch.Size([201, 201]) != (224, 224)"
169,O:\O drive\AI\my project\medical image projects\Sperm Morphology Colorized\Dataset\archive (1)\dataset\train\Normal_Sperm\Normal_Sperm (239)_1.jpg,"Transformed image size torch.Size([201, 201]) != (224, 224)"
170,O:\O drive\AI\my project\medical image projects\Sperm Morphology Colorized\Dataset\archive (1)\dataset\train\Normal_Sperm\Normal_Sperm (239)_8.jpg,"Transformed image size torch.Size([201, 201]) != (224, 224)"
171,O:\O drive\AI\my project\medical image projects\Sperm Morphology Colorized\Dataset\archive (1)\dataset\train\Normal_Sperm\Normal_Sperm (240)_1.jpg,"Transformed image size torch.Size([201, 201]) != (224, 224)"
172,O:\O drive\AI\my project\medical image projects\Sperm Morphology Colorized\Dataset\archive (1)\dataset\train\Normal_Sperm\Normal_Sperm (241)_2.jpg,"Transformed image size torch.Size([201, 201]) != (224, 224)"
173,O:\O drive\AI\my project\medical image projects\Sperm Morphology Colorized\Dataset\archive (1)\dataset\train\Normal_Sperm\Normal_Sperm (242)_1.jpg,"Transformed image size torch.Size([201, 201]) != (224, 224)"
175,O:\O drive\AI\my project\medical image projects\Sperm Morphology Colorized\Dataset\archive (1)\dataset\train\Normal_Sperm\Normal_Sperm (243)_1.jpg,"Transformed image size torch.Size([201, 201]) != (224, 224)"
177,O:\O drive\AI\my project\medical image projects\Sperm Morphology Colorized\Dataset\archive (1)\dataset\train\Normal_Sperm\Normal_Sperm (244)_12.jpg,"Transformed image size torch.Size([201, 201]) != (224, 224)"
181,O:\O drive\AI\my project\medical image projects\Sperm Morphology Colorized\Dataset\archive (1)\dataset\train\Normal_Sperm\Normal_Sperm (245)_11.jpg,"Transformed image size torch.Size([201, 201]) != (224, 224)"
183,O:\O drive\AI\my project\medical image projects\Sperm Morphology Colorized\Dataset\archive (1)\dataset\train\Normal_Sperm\Normal_Sperm (245)_9.jpg,"Transformed image size torch.Size([201, 201]) != (224, 224)"
186,O:\O drive\AI\my project\medical image projects\Sperm Morphology Colorized\Dataset\archive (1)\dataset\train\Normal_Sperm\Normal_Sperm (25)_2.jpg,"Transformed image size torch.Size([201, 201]) != (224, 224)"
187,O:\O drive\AI\my project\medical image projects\Sperm Morphology Colorized\Dataset\archive (1)\dataset\train\Normal_Sperm\Normal_Sperm (250)_8.jpg,"Transformed image size torch.Size([201, 201]) != (224, 224)"
188,O:\O drive\AI\my project\medical image projects\Sperm Morphology Colorized\Dataset\archive (1)\dataset\train\Normal_Sperm\Normal_Sperm (251)_3.jpg,"Transformed image size torch.Size([201, 201]) != (224, 224)"
197,O:\O drive\AI\my project\medical image projects\Sperm Morphology Colorized\Dataset\archive (1)\dataset\train\Normal_Sperm\Normal_Sperm (260)_7.jpg,"Transformed image size torch.Size([201, 201]) != (224, 224)"
201,O:\O drive\AI\my project\medical image projects\Sperm Morphology Colorized\Dataset\archive (1)\dataset\train\Normal_Sperm\Normal_Sperm (262)_3.jpg,"Transformed image size torch.Size([201, 201]) != (224, 224)"
202,O:\O drive\AI\my project\medical image projects\Sperm Morphology Colorized\Dataset\archive (1)\dataset\train\Normal_Sperm\Normal_Sperm (269)_3.jpg,"Transformed image size torch.Size([201, 201]) != (224, 224)"
203,O:\O drive\AI\my project\medical image projects\Sperm Morphology Colorized\Dataset\archive (1)\dataset\train\Normal_Sperm\Normal_Sperm (270)_11.jpg,"Transformed image size torch.Size([201, 201]) != (224, 224)"
212,O:\O drive\AI\my project\medical image projects\Sperm Morphology Colorized\Dataset\archive (1)\dataset\train\Normal_Sperm\Normal_Sperm (277)_2.jpg,"Transformed image size torch.Size([201, 201]) != (224, 224)"
215,O:\O drive\AI\my project\medical image projects\Sperm Morphology Colorized\Dataset\archive (1)\dataset\train\Normal_Sperm\Normal_Sperm (278)_12.jpg,"Transformed image size torch.Size([201, 201]) != (224, 224)"
218,O:\O drive\AI\my project\medical image projects\Sperm Morphology Colorized\Dataset\archive (1)\dataset\train\Normal_Sperm\Normal_Sperm (281)_4.jpg,"Transformed image size torch.Size([201, 201]) != (224, 224)"
221,O:\O drive\AI\my project\medical image projects\Sperm Morphology Colorized\Dataset\archive (1)\dataset\train\Normal_Sperm\Normal_Sperm (286)_4.jpg,"Transformed image size torch.Size([201, 201]) != (224, 224)"
226,O:\O drive\AI\my project\medical image projects\Sperm Morphology Colorized\Dataset\archive (1)\dataset\train\Normal_Sperm\Normal_Sperm (29)_12.jpg,"Transformed image size torch.Size([201, 201]) != (224, 224)"
232,O:\O drive\AI\my project\medical image projects\Sperm Morphology Colorized\Dataset\archive (1)\dataset\train\Normal_Sperm\Normal_Sperm (3)_1.jpg,"Transformed image size torch.Size([201, 201]) != (224, 224)"
234,O:\O drive\AI\my project\medical image projects\Sperm Morphology Colorized\Dataset\archive (1)\dataset\train\Normal_Sperm\Normal_Sperm (30)_4.jpg,"Transformed image size torch.Size([201, 201]) != (224, 224)"
236,O:\O drive\AI\my project\medical image projects\Sperm Morphology Colorized\Dataset\archive (1)\dataset\train\Normal_Sperm\Normal_Sperm (30)_9.jpg,"Transformed image size torch.Size([201, 201]) != (224, 224)"
237,O:\O drive\AI\my project\medical image projects\Sperm Morphology Colorized\Dataset\archive (1)\dataset\train\Normal_Sperm\Normal_Sperm (300)_11.jpg,"Transformed image size torch.Size([201, 201]) != (224, 224)"
240,O:\O drive\AI\my project\medical image projects\Sperm Morphology Colorized\Dataset\archive (1)\dataset\train\Normal_Sperm\Normal_Sperm (304)_3.jpg,"Transformed image size torch.Size([201, 201]) != (224, 224)"
243,O:\O drive\AI\my project\medical image projects\Sperm Morphology Colorized\Dataset\archive (1)\dataset\train\Normal_Sperm\Normal_Sperm (306)_2.jpg,"Transformed image size torch.Size([201, 201]) != (224, 224)"
246,O:\O drive\AI\my project\medical image projects\Sperm Morphology Colorized\Dataset\archive (1)\dataset\train\Normal_Sperm\Normal_Sperm (311)_12.jpg,"Transformed image size torch.Size([201, 201]) != (224, 224)"
247,O:\O drive\AI\my project\medical image projects\Sperm Morphology Colorized\Dataset\archive (1)\dataset\train\Normal_Sperm\Normal_Sperm (312)_3.jpg,"Transformed image size torch.Size([201, 201]) != (224, 224)"
248,O:\O drive\AI\my project\medical image projects\Sperm Morphology Colorized\Dataset\archive (1)\dataset\train\Normal_Sperm\Normal_Sperm (313)_1.jpg,"Transformed image size torch.Size([201, 201]) != (224, 224)"
256,O:\O drive\AI\my project\medical image projects\Sperm Morphology Colorized\Dataset\archive (1)\dataset\train\Normal_Sperm\Normal_Sperm (325)_1.jpg,"Transformed image size torch.Size([201, 201]) != (224, 224)"
257,O:\O drive\AI\my project\medical image projects\Sperm Morphology Colorized\Dataset\archive (1)\dataset\train\Normal_Sperm\Normal_Sperm (326)_4.jpg,"Transformed image size torch.Size([201, 201]) != (224, 224)"
258,O:\O drive\AI\my project\medical image projects\Sperm Morphology Colorized\Dataset\archive (1)\dataset\train\Normal_Sperm\Normal_Sperm (328)_11.jpg,"Transformed image size torch.Size([201, 201]) != (224, 224)"
259,O:\O drive\AI\my project\medical image projects\Sperm Morphology Colorized\Dataset\archive (1)\dataset\train\Normal_Sperm\Normal_Sperm (329)_1.jpg,"Transformed image size torch.Size([201, 201]) != (224, 224)"
262,O:\O drive\AI\my project\medical image projects\Sperm Morphology Colorized\Dataset\archive (1)\dataset\train\Normal_Sperm\Normal_Sperm (33)_12.jpg,"Transformed image size torch.Size([201, 201]) != (224, 224)"
265,O:\O drive\AI\my project\medical image projects\Sperm Morphology Colorized\Dataset\archive (1)\dataset\train\Normal_Sperm\Normal_Sperm (332)_1.jpg,"Transformed image size torch.Size([201, 201]) != (224, 224)"
268,O:\O drive\AI\my project\medical image projects\Sperm Morphology Colorized\Dataset\archive (1)\dataset\train\Normal_Sperm\Normal_Sperm (335)_1.jpg,"Transformed image size torch.Size([201, 201]) != (224, 224)"
272,O:\O drive\AI\my project\medical image projects\Sperm Morphology Colorized\Dataset\archive (1)\dataset\train\Normal_Sperm\Normal_Sperm (339)_10.jpg,"Transformed image size torch.Size([201, 201]) != (224, 224)"
274,O:\O drive\AI\my project\medical image projects\Sperm Morphology Colorized\Dataset\archive (1)\dataset\train\Normal_Sperm\Normal_Sperm (343)_1.jpg,"Transformed image size torch.Size([201, 201]) != (224, 224)"
279,O:\O drive\AI\my project\medical image projects\Sperm Morphology Colorized\Dataset\archive (1)\dataset\train\Normal_Sperm\Normal_Sperm (347)_11.jpg,"Transformed image size torch.Size([201, 201]) != (224, 224)"
281,O:\O drive\AI\my project\medical image projects\Sperm Morphology Colorized\Dataset\archive (1)\dataset\train\Normal_Sperm\Normal_Sperm (348)_1.jpg,"Transformed image size torch.Size([201, 201]) != (224, 224)"
282,O:\O drive\AI\my project\medical image projects\Sperm Morphology Colorized\Dataset\archive (1)\dataset\train\Normal_Sperm\Normal_Sperm (350)_1.jpg,"Transformed image size torch.Size([201, 201]) != (224, 224)"
283,O:\O drive\AI\my project\medical image projects\Sperm Morphology Colorized\Dataset\archive (1)\dataset\train\Normal_Sperm\Normal_Sperm (351)_12.jpg,"Transformed image size torch.Size([201, 201]) != (224, 224)"
285,O:\O drive\AI\my project\medical image projects\Sperm Morphology Colorized\Dataset\archive (1)\dataset\train\Normal_Sperm\Normal_Sperm (356)_2.jpg,"Transformed image size torch.Size([201, 201]) != (224, 224)"
287,O:\O drive\AI\my project\medical image projects\Sperm Morphology Colorized\Dataset\archive (1)\dataset\train\Normal_Sperm\Normal_Sperm (359)_4.jpg,"Transformed image size torch.Size([201, 201]) != (224, 224)"
289,O:\O drive\AI\my project\medical image projects\Sperm Morphology Colorized\Dataset\archive (1)\dataset\train\Normal_Sperm\Normal_Sperm (360)_4.jpg,"Transformed image size torch.Size([201, 201]) != (224, 224)"
292,O:\O drive\AI\my project\medical image projects\Sperm Morphology Colorized\Dataset\archive (1)\dataset\train\Normal_Sperm\Normal_Sperm (363)_3.jpg,"Transformed image size torch.Size([201, 201]) != (224, 224)"
299,O:\O drive\AI\my project\medical image projects\Sperm Morphology Colorized\Dataset\archive (1)\dataset\train\Normal_Sperm\Normal_Sperm (371)_7.jpg,"Transformed image size torch.Size([201, 201]) != (224, 224)"
300,O:\O drive\AI\my project\medical image projects\Sperm Morphology Colorized\Dataset\archive (1)\dataset\train\Normal_Sperm\Normal_Sperm (373)_1.jpg,"Transformed image size torch.Size([201, 201]) != (224, 224)"
313,O:\O drive\AI\my project\medical image projects\Sperm Morphology Colorized\Dataset\archive (1)\dataset\train\Normal_Sperm\Normal_Sperm (391)_11.jpg,"Transformed image size torch.Size([201, 201]) != (224, 224)"
317,O:\O drive\AI\my project\medical image projects\Sperm Morphology Colorized\Dataset\archive (1)\dataset\train\Normal_Sperm\Normal_Sperm (394)_4.jpg,"Transformed image size torch.Size([201, 201]) != (224, 224)"
324,O:\O drive\AI\my project\medical image projects\Sperm Morphology Colorized\Dataset\archive (1)\dataset\train\Normal_Sperm\Normal_Sperm (398)_2.jpg,"Transformed image size torch.Size([201, 201]) != (224, 224)"
328,O:\O drive\AI\my project\medical image projects\Sperm Morphology Colorized\Dataset\archive (1)\dataset\train\Normal_Sperm\Normal_Sperm (40)_8.jpg,"Transformed image size torch.Size([201, 201]) != (224, 224)"
334,O:\O drive\AI\my project\medical image projects\Sperm Morphology Colorized\Dataset\archive (1)\dataset\train\Normal_Sperm\Normal_Sperm (408)_10.jpg,"Transformed image size torch.Size([201, 201]) != (224, 224)"
336,O:\O drive\AI\my project\medical image projects\Sperm Morphology Colorized\Dataset\archive (1)\dataset\train\Normal_Sperm\Normal_Sperm (41)_4.jpg,"Transformed image size torch.Size([201, 201]) != (224, 224)"
340,O:\O drive\AI\my project\medical image projects\Sperm Morphology Colorized\Dataset\archive (1)\dataset\train\Normal_Sperm\Normal_Sperm (414)_2.jpg,"Transformed image size torch.Size([201, 201]) != (224, 224)"
341,O:\O drive\AI\my project\medical image projects\Sperm Morphology Colorized\Dataset\archive (1)\dataset\train\Normal_Sperm\Normal_Sperm (414)_4.jpg,"Transformed image size torch.Size([201, 201]) != (224, 224)"
343,O:\O drive\AI\my project\medical image projects\Sperm Morphology Colorized\Dataset\archive (1)\dataset\train\Normal_Sperm\Normal_Sperm (417)_10.jpg,"Transformed image size torch.Size([201, 201]) != (224, 224)"
350,O:\O drive\AI\my project\medical image projects\Sperm Morphology Colorized\Dataset\archive (1)\dataset\train\Normal_Sperm\Normal_Sperm (422)_11.jpg,"Transformed image size torch.Size([201, 201]) != (224, 224)"
355,O:\O drive\AI\my project\medical image projects\Sperm Morphology Colorized\Dataset\archive (1)\dataset\train\Normal_Sperm\Normal_Sperm (430)_1.jpg,"Transformed image size torch.Size([201, 201]) != (224, 224)"
356,O:\O drive\AI\my project\medical image projects\Sperm Morphology Colorized\Dataset\archive (1)\dataset\train\Normal_Sperm\Normal_Sperm (430)_10.jpg,"Transformed image size torch.Size([201, 201]) != (224, 224)"
358,O:\O drive\AI\my project\medical image projects\Sperm Morphology Colorized\Dataset\archive (1)\dataset\train\Normal_Sperm\Normal_Sperm (431)_8.jpg,"Transformed image size torch.Size([201, 201]) != (224, 224)"
360,O:\O drive\AI\my project\medical image projects\Sperm Morphology Colorized\Dataset\archive (1)\dataset\train\Normal_Sperm\Normal_Sperm (433)_1.jpg,"Transformed image size torch.Size([201, 201]) != (224, 224)"
363,O:\O drive\AI\my project\medical image projects\Sperm Morphology Colorized\Dataset\archive (1)\dataset\train\Normal_Sperm\Normal_Sperm (435)_1.jpg,"Transformed image size torch.Size([201, 201]) != (224, 224)"
370,O:\O drive\AI\my project\medical image projects\Sperm Morphology Colorized\Dataset\archive (1)\dataset\train\Normal_Sperm\Normal_Sperm (441)_3.jpg,"Transformed image size torch.Size([201, 201]) != (224, 224)"
371,O:\O drive\AI\my project\medical image projects\Sperm Morphology Colorized\Dataset\archive (1)\dataset\train\Normal_Sperm\Normal_Sperm (446)_7.jpg,"Transformed image size torch.Size([201, 201]) != (224, 224)"
372,O:\O drive\AI\my project\medical image projects\Sperm Morphology Colorized\Dataset\archive (1)\dataset\train\Normal_Sperm\Normal_Sperm (446)_8.jpg,"Transformed image size torch.Size([201, 201]) != (224, 224)"
373,O:\O drive\AI\my project\medical image projects\Sperm Morphology Colorized\Dataset\archive (1)\dataset\train\Normal_Sperm\Normal_Sperm (452)_2.jpg,"Transformed image size torch.Size([201, 201]) != (224, 224)"
374,O:\O drive\AI\my project\medical image projects\Sperm Morphology Colorized\Dataset\archive (1)\dataset\train\Normal_Sperm\Normal_Sperm (454)_7.jpg,"Transformed image size torch.Size([201, 201]) != (224, 224)"
376,O:\O drive\AI\my project\medical image projects\Sperm Morphology Colorized\Dataset\archive (1)\dataset\train\Normal_Sperm\Normal_Sperm (457)_12.jpg,"Transformed image size torch.Size([201, 201]) != (224, 224)"
378,O:\O drive\AI\my project\medical image projects\Sperm Morphology Colorized\Dataset\archive (1)\dataset\train\Normal_Sperm\Normal_Sperm (459)_8.jpg,"Transformed image size torch.Size([201, 201]) != (224, 224)"
380,O:\O drive\AI\my project\medical image projects\Sperm Morphology Colorized\Dataset\archive (1)\dataset\train\Normal_Sperm\Normal_Sperm (461)_2.jpg,"Transformed image size torch.Size([201, 201]) != (224, 224)"
382,O:\O drive\AI\my project\medical image projects\Sperm Morphology Colorized\Dataset\archive (1)\dataset\train\Normal_Sperm\Normal_Sperm (462)_3.jpg,"Transformed image size torch.Size([201, 201]) != (224, 224)"
387,O:\O drive\AI\my project\medical image projects\Sperm Morphology Colorized\Dataset\archive (1)\dataset\train\Normal_Sperm\Normal_Sperm (465)_4.jpg,"Transformed image size torch.Size([201, 201]) != (224, 224)"
388,O:\O drive\AI\my project\medical image projects\Sperm Morphology Colorized\Dataset\archive (1)\dataset\train\Normal_Sperm\Normal_Sperm (467)_10.jpg,"Transformed image size torch.Size([201, 201]) != (224, 224)"
389,O:\O drive\AI\my project\medical image projects\Sperm Morphology Colorized\Dataset\archive (1)\dataset\train\Normal_Sperm\Normal_Sperm (467)_9.jpg,"Transformed image size torch.Size([201, 201]) != (224, 224)"
391,O:\O drive\AI\my project\medical image projects\Sperm Morphology Colorized\Dataset\archive (1)\dataset\train\Normal_Sperm\Normal_Sperm (47)_9.jpg,"Transformed image size torch.Size([201, 201]) != (224, 224)"
402,O:\O drive\AI\my project\medical image projects\Sperm Morphology Colorized\Dataset\archive (1)\dataset\train\Normal_Sperm\Normal_Sperm (477)_1.jpg,"Transformed image size torch.Size([201, 201]) != (224, 224)"
407,O:\O drive\AI\my project\medical image projects\Sperm Morphology Colorized\Dataset\archive (1)\dataset\train\Normal_Sperm\Normal_Sperm (479)_7.jpg,"Transformed image size torch.Size([201, 201]) != (224, 224)"
408,O:\O drive\AI\my project\medical image projects\Sperm Morphology Colorized\Dataset\archive (1)\dataset\train\Normal_Sperm\Normal_Sperm (481)_9.jpg,"Transformed image size torch.Size([201, 201]) != (224, 224)"
412,O:\O drive\AI\my project\medical image projects\Sperm Morphology Colorized\Dataset\archive (1)\dataset\train\Normal_Sperm\Normal_Sperm (484)_4.jpg,"Transformed image size torch.Size([201, 201]) != (224, 224)"
416,O:\O drive\AI\my project\medical image projects\Sperm Morphology Colorized\Dataset\archive (1)\dataset\train\Normal_Sperm\Normal_Sperm (489)_1.jpg,"Transformed image size torch.Size([201, 201]) != (224, 224)"
419,O:\O drive\AI\my project\medical image projects\Sperm Morphology Colorized\Dataset\archive (1)\dataset\train\Normal_Sperm\Normal_Sperm (491)_10.jpg,"Transformed image size torch.Size([201, 201]) != (224, 224)"
420,O:\O drive\AI\my project\medical image projects\Sperm Morphology Colorized\Dataset\archive (1)\dataset\train\Normal_Sperm\Normal_Sperm (492)_11.jpg,"Transformed image size torch.Size([201, 201]) != (224, 224)"
424,O:\O drive\AI\my project\medical image projects\Sperm Morphology Colorized\Dataset\archive (1)\dataset\train\Normal_Sperm\Normal_Sperm (495)_4.jpg,"Transformed image size torch.Size([201, 201]) != (224, 224)"
429,O:\O drive\AI\my project\medical image projects\Sperm Morphology Colorized\Dataset\archive (1)\dataset\train\Normal_Sperm\Normal_Sperm (497)_12.jpg,"Transformed image size torch.Size([201, 201]) != (224, 224)"
